white,black,trials,equity,sw,sl,gw,gl,bw,bl

h120-001A-85L--h30-63.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.077, 37792, 37930, 13074, 9909, 899, 396
h120-001A-85L--h30-64.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0766, 38393, 37554, 12772, 10027, 849, 405
h120-001A-85L--h30-65.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.068, 38993, 37435, 12306, 10254, 696, 316

h120-34m-66.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0761, 38909, 37176, 12547, 10185, 784, 399
h120-34m-67.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0693, 37533, 37844, 13313, 10131, 735, 444
h120-34m-68.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0913, 37587, 37032, 13980, 10172, 774, 455
h120-34m-69.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0835, 37961, 37407, 13292, 10075, 859, 406
h120-34m-70.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0853, 37190, 37843, 13836, 9866, 840, 425
h120-34m-71.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0802, 38373, 37251, 12999, 10251, 797, 329
h120-34m-72.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0863, 38129, 37037, 13369, 10236, 826, 403
h120-34m-73.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0857, 38747, 37401, 12914, 9798, 735, 405
h120-34m-74.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0924, 37207, 36944, 14236, 10330, 836, 447
h120-34m-75.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.1, 37796, 36554, 14059, 10279, 855, 457
h120-34m-76.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0979, 38306, 37221, 13481, 9737, 831, 424
h120-34m-77.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0839, 38381, 36772, 13278, 10348, 764, 457
h120-34m-78.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0948, 38772, 37196, 13090, 9749, 800, 393
